467522,534506,701385,804260,583954|106096|355271|317103|110797|604727|33902|658109|187766|760374|980238|409546|441918|219000|860758|,986664|760027|180970|72|520166|391681|698386|506939|959375|293567|33311|555852|856650|470073|627803|,231906|873887|460350|888956|787933|798297|397317|346458|19931|416454|476553|379068|661222|906075|355134|,945995|399549|77812|872238|358056|872510|460154|26869|253529|967853|798302|273621|290014|116387|149377|,208567|361314|17301|311798|977343|439309|638784|48479|385226|730166|385198|69748|585415|578422|892456|,482338|179247|516184|67577|974991|722594|80556|559002|298428|468192|937083|724863|9988|318880|947924|,303293|465857|152144|654725|589590|773390|414890|789989|5027|793894|503920|312910|669788|295531|488004|,667049|398599|893891|38630|329250|675195|745117|24394|624570|334096|819282|240469|413242|634278|348006|,504052|666309|816846|213933|550681|434375|952280|72970|501267|591050|971129|193363|144009|822375|802905|,849616|970131|643673|136183|440354|633526|658733|620538|767745|885369|832725|382869|971678|415464|917917|,981845|99303|714853|176309|403466|366185|216613|249772|223184|856655|735438|427710|219513|513224|884780|,982724|74392|821511|892810|812425|876076|939108|493619|734141|379496|163808|980869|619331|803099|474309|,1567,311945,16961,1567,49055046048049000000000000000000000000001565,50051054049057046049051000000000000000001565,48046048053000000000000000000000000000001565,48046048051000000000000000000000000000001565,79000000000000000000000000000000000000001565,80000000000000000000000000000000000000001565,49057057054045048051045049052000000000001565,49057057054045048050045049051000000000001565,49057057054045048051045050051000000000001565,68069076073086069082032073078032080069083649,84082085067076000000000000000000000000001565,101103117108097114032099111117114116115033663,1
301614,996837,648257,407852,661190|850215|660133|94360|198601|871225|214257|640640|170095|144389|536084|516202|470634|84073|606094|,945395|583804|323327|858075|939563|183666|387671|640122|297117|287552|385222|275096|711148|557434|531160|,579998|171928|79085|550496|232788|293280|990744|708529|330544|309506|691530|655013|468799|880862|722393|,899674|162991|68217|641660|216253|743095|410396|111814|98558|372323|253980|570368|469667|788159|790133|,437729|276024|405471|387664|444908|565796|699594|88868|437414|596312|987905|979896|407347|504672|750255|,269574|746637|281308|202542|222396|573919|135368|670195|667356|453508|536630|91032|428291|364631|446558|,132805|55878|849014|784716|872825|968120|263896|244919|979002|301064|402568|498546|931607|356935|465598|,917563|487767|172360|628952|364017|361920|724832|593082|448931|545797|577805|998207|732420|956557|215539|,744090|588474|933276|569281|603150|813077|465760|41331|969094|266845|259162|792752|552913|30660|328423|,423315|465406|465466|699243|653959|810769|671072|863321|527691|697695|425108|52192|267477|177099|550251|,650165|550675|165853|76924|765945|688332|414780|625881|193864|272933|910920|510617|615646|388032|774742|,417169|439461|653823|299017|353313|936671|7590|531849|926378|30124|13726|394851|460317|790137|456790|,1567,136185,16186,1568,51054046048049000000000000000000000000001565,53057053050057046057055000000000000000001565,48046048058000000000000000000000000000001565,48046048055000000000000000000000000000001565,79000000000000000000000000000000000000001565,80000000000000000000000000000000000000001565,49057057054045048052045049051000000000001565,49057057054045048050045050057000000000001565,49057057054045048052045050049000000000001565,84065075069032066065067075032082069084086648,77065073077000000000000000000000000000001565,108121032102105110097108032100101112101111666,2
529981,369647,21445,751108,970484|798697|497873|164874|646036|267099|724452|602355|440819|175728|85112|643804|319082|234205|131908|,497135|650737|227187|771751|311947|472726|316181|466414|76096|642394|814531|173442|201270|836776|102420|,510897|138157|508019|633666|293015|113630|827755|248479|623528|552641|536475|502374|812829|576232|194978|,620269|840697|997512|861899|697526|565367|764056|881036|974564|314642|93651|465240|431818|941296|523159|,204577|770911|926060|963631|984557|648846|576959|177070|378900|169322|356490|404786|521108|644095|368706|,887688|611216|304579|820024|585646|485419|802988|386628|595251|446845|303771|45837|772475|438577|137014|,971640|799967|302971|552723|378411|663921|353016|234831|767421|595229|520739|787263|626876|11114|938801|,205694|555418|148576|633483|972838|491956|493060|173670|673178|281152|213951|210944|551039|458771|301149|,648952|597514|712269|397040|489482|419316|737314|255701|473511|312011|159493|824206|36397|503906|180531|,342351|360392|449897|770585|381524|86180|679511|84898|982831|739598|262851|754337|800736|91302|802002|,178968|404956|38595|79435|749475|351408|246819|659335|532164|353471|768845|864708|347724|641383|741510|,785112|144034|902658|476203|136578|926451|567752|571569|368604|172918|523986|165623|121452|538458|777401|,1567,128966,8967,1569,56046048049000000000000000000000000000001565,49049052049057046050049000000000000000001565,48046049049000000000000000000000000000001565,48046048051000000000000000000000000000001565,79000000000000000000000000000000000000001565,80000000000000000000000000000000000000001565,49057057054045048049045050058000000000001565,49057057054045048051045048054000000000001565,49057057054045048049045051050000000000001565,84065075069032066065067075032082069084086648,82069071032065073083000000000000000000001565,114105111117115108121046032114101103117109663,3
122373,681563,883023,746525,874788|936189|772398|168834|379417|930382|18758|1684|665983|643198|286596|832011|571328|610595|312190|,165801|21232|481678|603484|784737|151814|473656|733859|363986|720375|364954|25695|662896|632689|471323|,375597|643652|471665|407780|962338|57674|521793|842704|177500|357624|598034|546495|567715|264414|673265|,178313|904379|395624|634345|879504|467144|488065|279158|822447|10206|626642|892385|101263|115813|868648|,200701|869080|169701|264372|618812|217923|359540|406763|471598|38606|777721|123470|177752|820169|269980|,128324|370605|187214|819020|200227|870060|679310|82092|137165|839957|424709|823323|95543|144201|90639|,664350|299013|130685|812053|690733|492049|647834|416479|138583|249163|801781|189326|602770|796410|546022|,836833|895651|78177|262471|505588|807846|659772|693387|627146|54971|350761|865080|48191|821261|268196|,385346|859680|796416|374763|125126|811350|500150|333120|336543|954301|763134|290061|330153|134802|446875|,151585|826448|208011|42924|925081|260371|836033|180988|933274|258075|525513|378408|857146|517682|873952|,630889|899454|200290|17604|402750|25214|928107|866527|822775|60261|352991|248670|343647|567701|220894|,359137|403591|641191|722218|93131|131691|364560|15718|151544|980932|340895|4400|976526|234409|170402|,1567,5829,10830,1570,50056046048049000000000000000000000000001565,51050054056051046050057000000000000000001565,48046048058000000000000000000000000000001565,48046048055000000000000000000000000000001565,79000000000000000000000000000000000000001565,80000000000000000000000000000000000000001565,49057057054045048052045050050000000000001565,49057057054045048051045051049000000000001565,49057057054045048053045049055000000000001565,78079078070000000000000000000000000000001565,65073083000000000000000000000000000000001565,108105116101115046032102108117102102105109687,4
132887,776493,361827,430120,475131|607872|919628|358114|812352|505845|832098|283747|118894|703177|63725|711175|721449|641660|89547|,961007|800840|160036|767701|671210|512851|291742|589168|441583|622110|793823|998962|930630|502140|683112|,596462|421191|99426|563992|905502|43451|906458|726747|17196|274591|696544|283584|874845|85958|786077|,461929|865434|500382|921149|840731|290717|461835|20335|297526|867124|553519|816569|145150|706037|904715|,889333|623511|797183|160703|583083|782416|254312|178797|914828|774614|562376|346684|415241|211657|423265|,797944|367502|227499|188521|57751|733727|205940|346614|425495|625997|324100|213446|269890|456404|683824|,647399|749203|579028|858621|36169|635955|395562|685163|369054|966684|677803|560104|939243|359903|880957|,584166|565423|68864|726033|641158|897004|792447|421696|716659|257942|56626|97537|874188|606487|31949|,942597|58041|948157|982788|705519|150623|240513|900359|638387|46702|808501|938924|640842|660055|995145|,765867|914831|44443|664569|241282|308666|923647|593175|638265|63990|529116|803952|485888|490400|93266|,726686|50228|122590|859997|343530|73728|810202|628544|792603|772960|341850|761501|508640|280385|98494|,342502|770389|872773|456661|509934|24949|900258|678363|175833|154653|757098|42771|611314|864505|765029|,1567,49620,4627,1571,50052046048049000000000000000000000000001565,50052048052057046050049000000000000000001565,48046049049000000000000000000000000000001565,48046048053000000000000000000000000000001565,79000000000000000000000000000000000000001565,80000000000000000000000000000000000000001565,49057057054045048051045051049000000000001565,49057057054045048051045049053000000000001565,49057057054045048052045048050000000000001565,78079078070000000000000000000000000000001565,70079067000000000000000000000000000000001565,32112101110100105110103032102111120101116612,5
15805,352283,318861,348442,745973|338399|447714|384045|385448|893156|64075|226914|709491|810428|960914|412287|445530|142554|262788|,554768|495329|952289|656278|526468|431562|112728|17395|68789|818604|994746|506147|602309|8877|925098|,346969|671908|563292|812420|544089|65133|310317|488527|305028|849008|954066|167822|416129|125899|653810|,593206|371914|827569|833416|586297|397776|200588|813019|420609|299340|853759|102613|386744|833956|748164|,869507|404356|290678|936885|31848|620112|31043|973670|854526|809094|564923|537199|630346|5529|77857|,812231|690907|310782|503258|737803|944159|242170|732248|486303|671713|904214|728542|268331|363683|819888|,834607|798727|5203|310188|652631|158897|952046|251911|970901|22587|861678|406091|903331|850946|10353|,837599|288804|471064|778920|947894|123177|569539|178936|663016|279840|299167|728560|518685|830170|579998|,347111|178405|566967|35120|681266|888294|901873|889278|906944|763885|483777|323407|82514|500581|83313|,501453|373657|798437|321152|266914|45997|337507|555499|528061|550760|887558|400094|372337|636125|864538|,852599|831740|346552|343389|696755|811428|520116|2742|784567|548925|566963|630789|22525|123400|850941|,641109|136409|592822|503639|25134|479975|700810|501695|569928|277971|159068|802883|107097|153541|773561|,1567,32835,2838,1572,51050046048049000000000000000000000000001565,51056052048056046051051000000000000000001565,48046048056000000000000000000000000000001565,48046048051000000000000000000000000000001565,79000000000000000000000000000000000000001565,80000000000000000000000000000000000000001565,49057057054045048049045051049000000000001565,49057057054045048050045048056000000000001565,49057057054045048050045048052000000000001565,68069076073086069082032073078032080069083649,77065073077000000000000000000000000000001565,97114101102117108108121032115108121108122598,6
317435,214543,50471,95464,585513|535130|411412|847624|842539|348960|685342|852053|314138|460628|943548|272457|648451|888097|893903|,937694|517056|173248|490511|976178|888690|326313|394966|212420|667868|640421|306185|117147|162207|618114|,288607|219910|704974|503200|842575|718334|43629|245097|3098|61735|666123|214430|376946|1141|691193|,240972|873350|607468|834150|324189|34987|13248|956440|981578|159080|339418|797321|801198|660830|147324|,469468|792310|257618|749435|393274|782837|639833|697515|39566|194516|446623|15322|634201|189415|392531|,941042|340018|657434|615026|589698|678302|353098|704111|494038|996744|127344|570876|103810|980189|465080|,882232|114686|231238|835632|722933|173739|834691|282715|699236|635444|36513|59366|762912|720015|750231|,23730|79636|161955|16835|86544|373641|745476|3644|459403|516367|719385|833939|282526|674695|408095|,31723|980230|263564|556742|646258|532210|320124|995641|489595|488088|461350|453243|984826|939873|548818|,783725|576667|46340|824679|163948|42047|773809|841725|226839|952212|674211|368320|463854|142415|958552|,383549|233558|356553|810269|986700|289785|138291|609602|867290|580746|373176|995310|945810|55270|388078|,311883|946344|710422|532663|66721|953474|337201|331130|612801|613827|292254|33401|628503|183540|479159|,1568,213906,3927,1567,51056046048049000000000000000000000000001565,52055053056056046053053000000000000000001565,48046048049000000000000000000000000000001565,48046048054000000000000000000000000000001565,79000000000000000000000000000000000000001565,80000000000000000000000000000000000000001565,49057057055045048049045050057000000000001565,49057057055045048049045049053000000000001565,49057057055045048050045048051000000000001565,84065075069032066065067075032082069084086648,82065073077000000000000000000000000000001565,118101110032114101113117101115116115046033666,7
637008,624803,836561,762890,731465|487937|225710|837561|326494|37924|223748|210689|665740|145377|806364|244567|84816|222951|839511|,572910|425281|477005|316568|245910|77705|637956|747790|131198|473217|716396|181857|257114|590696|348802|,547128|914655|376768|301174|744165|103979|729286|217178|665774|663555|207116|439799|57017|252404|228532|,746682|98387|328090|9355|473804|912285|608895|910207|112959|66835|406939|449343|100963|174266|761210|,323310|787577|952806|547771|116547|388031|15525|417204|354879|885802|357707|285299|486156|251698|498523|,656415|396975|175495|644815|58686|219754|363553|132677|6160|838833|309365|9670|4632|45062|951619|,330995|966778|919411|82700|206862|306751|376548|851426|92066|366838|410846|172119|791057|621046|350816|,992215|136120|461886|128596|242706|598016|628541|785138|602001|112580|602285|774194|782698|835866|915865|,990891|752975|426176|369792|884493|393920|920613|38866|721912|995297|644049|45207|612918|144998|318961|,668207|860508|866474|879363|989876|6584|246559|954458|911547|226679|982624|21710|890106|385302|469603|,215748|230403|641411|132682|686486|787886|193872|918232|245534|753942|814290|515200|231076|499961|449308|,762137|142306|42307|760915|954031|233200|510244|137326|105459|536912|466845|689229|362962|557976|804059|,1569,10160,5161,1567,52053046048049000000000000000000000000001565,54055054049054046053054000000000000000001565,48046048055000000000000000000000000000001565,48046048049000000000000000000000000000001565,83000000000000000000000000000000000000001565,71000000000000000000000000000000000000001565,49057057052045048050045048051000000000001565,49057057052045048049045048053000000000001565,49057057052045048050045050052000000000001565,78079078070000000000000000000000000000001565,65073083000000000000000000000000000000001565,111110103115105100101032111102032116104102598,8
882098,668002,240952,976954,256160|924281|18279|679082|665422|612952|226287|417711|876104|712197|710993|590786|626019|382966|972950|,313685|584731|395241|238451|681524|790923|347857|157655|205895|961223|801514|932885|304756|300825|871022|,433961|423969|97495|650912|871401|203671|175966|724357|107977|993474|992429|341042|946379|122837|885920|,359041|566849|289610|505670|385757|436224|219335|272610|615101|567203|505820|6907|519982|476409|947689|,164896|264|563852|713117|701692|727682|965135|836505|299601|249250|397987|480818|116245|285452|1414|,416981|41510|411068|934296|950917|654890|825999|565387|306241|570695|419067|519079|863681|269052|308768|,701240|857758|550490|525558|911957|534545|450659|699365|650829|173395|207933|5875|365679|751716|198739|,547543|832566|25960|28617|246957|34511|235947|805145|262403|833033|295557|751759|59920|685528|513369|,804125|855940|117318|204279|625756|918651|441847|69410|513120|614987|202071|836971|672118|703164|813026|,671100|88380|933527|338831|436401|912157|966487|951130|675232|484649|901884|819885|738361|66957|282303|,623850|452617|187955|970400|440344|49113|627449|960667|451943|105011|406534|405049|676129|576644|581519|,233794|734063|760093|169509|602640|389446|14867|76344|641598|715564|259015|942316|532544|507755|991872|,1569,39637,14641,1568,52057046048049000000000000000000000000001565,52057052052052046052052000000000000000001565,48046049049000000000000000000000000000001565,48046048049000000000000000000000000000001565,83000000000000000000000000000000000000001565,71000000000000000000000000000000000000001565,49057057051045049049045048058000000000001565,49057057051045049050045050049000000000001565,49057057051045049049045050053000000000001565,84065075069032066065067075032082069084086648,82065073077000000000000000000000000000001565,32117110117115117097108032097099099111118676,9
772886,26253,240848,79796,384659|695798|1504|244326|664005|514330|452569|188265|412139|461042|153888|402626|145948|253000|859724|,496555|122528|828677|374669|808948|399659|232359|611258|573765|542711|484881|974647|863614|794364|949244|,111679|240831|320655|285964|551188|702979|119573|600893|754560|631655|323298|217596|198214|561225|745330|,628370|960682|641931|489026|108411|472410|657783|450764|711253|413240|335037|45086|499252|695557|706135|,3670|624722|460331|689677|905596|267300|878375|170388|270012|360071|118801|41170|268990|387865|560009|,347965|815780|208101|68288|819873|874847|966262|215904|157632|381742|875980|951961|574867|312117|52076|,445513|612911|341686|831890|380039|769603|274734|584706|274957|401214|81614|314685|150015|114957|66836|,266958|619036|376450|415814|813059|551616|572112|343627|138553|613715|904179|129702|985041|318098|807276|,804623|686399|939128|999402|71856|136449|264392|697349|510905|547052|717626|869731|672736|747233|816896|,545725|585849|74143|170547|717756|378029|96370|465439|567997|677210|421322|505383|589876|930183|179942|,973399|233836|636802|284847|425220|317996|425112|660705|27426|747957|489841|758052|992802|755113|409093|,570489|134725|95750|122367|42960|332226|397455|559148|757622|885136|422091|597600|930411|731025|959783|,1569,258463,8488,1569,50055046048049000000000000000000000000001565,53048048053052046055055000000000000000001565,48046048055000000000000000000000000000001565,48046048056000000000000000000000000000001565,66000000000000000000000000000000000000001565,71000000000000000000000000000000000000001565,49057057052045048049045049055000000000001565,49057057051045049049045050051000000000001565,49057057052045048049045050052000000000001565,68069076073086069082032073078032080069083649,83072073081000000000000000000000000000001565,110097108032102111120101115032119097107102612,10
